ercot_name,canonical_name,occurrences,suggested_substation,suggested_confidence,suggested_method
HUNTER__137P,HUNTER 137P,1,Hunter Substation,0.582,hybrid_fuzzy
HUNTER__138P,HUNTER 138P,1,Hunter Substation,0.582,hybrid_fuzzy
HUNTER__138Q,HUNTER 138Q,1,Hunter Substation,0.582,hybrid_fuzzy
HUNTER__138R,HUNTER 138R,1,Hunter Substation,0.582,hybrid_fuzzy
HUNTER__138S,HUNTER 138S,1,Hunter Substation,0.582,hybrid_fuzzy
HUNTER__138T,HUNTER 138T,1,Hunter Substation,0.582,hybrid_fuzzy
PETSON__138A,PETSON 138A,1,Petson Substation,0.582,hybrid_fuzzy
PETSON__138T,PETSON 138T,1,Petson Substation,0.582,hybrid_fuzzy
PETSON__138U,PETSON 138U,1,Petson Substation,0.582,hybrid_fuzzy
PETSON__138Z,PETSON 138Z,1,Petson Substation,0.582,hybrid_fuzzy
POWELL__138U,POWELL 138U,1,Powell Substation,0.582,hybrid_fuzzy
PSARCO__138A,PSARCO 138A,1,Psarco Substation,0.582,hybrid_fuzzy
PSARCO__138N,PSARCO 138N,1,Psarco Substation,0.582,hybrid_fuzzy
PSARCO__138S,PSARCO 138S,1,Psarco Substation,0.582,hybrid_fuzzy
PSARCO__138Z,PSARCO 138Z,1,Psarco Substation,0.582,hybrid_fuzzy
RIWOOD__138A,RIWOOD 138A,1,Riwood Substation,0.582,hybrid_fuzzy
RIWOOD__138T,RIWOOD 138T,1,Riwood Substation,0.582,hybrid_fuzzy
RIWOOD__138U,RIWOOD 138U,1,Riwood Substation,0.582,hybrid_fuzzy
RIWOOD__138Z,RIWOOD 138Z,1,Riwood Substation,0.582,hybrid_fuzzy
SEAWAY__8005,SEAWAY 8005,1,Seaway Substation,0.582,hybrid_fuzzy
SEPTON__801X,SEPTON 801X,1,Septon Substation,0.582,hybrid_fuzzy
STRATT__138V,STRATT 138V,1,Stratt Substation,0.582,hybrid_fuzzy
STRATT__138W,STRATT 138W,1,Stratt Substation,0.582,hybrid_fuzzy
SYLVAN__800X,SYLVAN 800X,1,Sylvan Substation,0.582,hybrid_fuzzy
TAYLOR__801Y,TAYLOR 801Y,1,Taylor Substation,0.582,hybrid_fuzzy
WARVUE__138A,WARVUE 138A,1,Warvue Substation,0.582,hybrid_fuzzy
WARVUE__138T,WARVUE 138T,1,Warvue Substation,0.582,hybrid_fuzzy
WARVUE__138U,WARVUE 138U,1,Warvue Substation,0.582,hybrid_fuzzy
SAN_DIEG_L_A,SAN DIEG,1,San Diego Substation,0.576,hybrid_fuzzy
SAN_DIEG_L_B,SAN DIEG,1,San Diego Substation,0.576,hybrid_fuzzy
AMOCO_PUN1,AMOCO PUN1,1,Amoco Substation,0.567,hybrid_fuzzy
AMOCO_PUN2,AMOCO PUN2,1,Amoco Substation,0.567,hybrid_fuzzy
BRYN_NORTH,BRYN NORTH,1,North Substation,0.567,hybrid_fuzzy
BUS1_NORTH,BUS1 NORTH,1,North Substation,0.567,hybrid_fuzzy
BUS2_SOUTH,BUS2 SOUTH,1,South Substation,0.567,hybrid_fuzzy
BYRD_LD1,BYRD LD1,1,Byrd Substation,0.567,hybrid_fuzzy
