NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_basis,ercot_zone,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Lobo Substation,,,TX,27.5789332,-99.2756424,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,12.991249999999999,6.691250000000002,11.625928034336633,0.0,0.0,78.99,AVAILABLE,"EB_AVANZADA, LN_CENIZO, LOBO1397, LOBO1398, LOBO1401, LOBO2002, LOBOL423, LOBOL585, LOBOS613, LOBO_1, LOBO_345_1, LOBO_B131_EB, LOBO_B132_EB, LOBO_EB01, LOBO_L801_EB, LOBO_TORR",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Pyote Substation,,,TX,31.4506038,-103.0980024,1,138.0,138.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,14.726666666666667,4.955833333333334,3.8350541821087933,0.0,0.0,78.93,AVAILABLE,"PYOTE_8403, PYOTE_8423, PYOTE_8427, TNPYOTE___1V, TNPYOTE___1W, TNPYOTE___1X, TNPYOTE___1Y, TNPYOTE___1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Vistron Substation,,,TX,28.5745707,-96.8330241,1,138.0,138.0,,industrial,IN SERVICE,OSM,16.486666666666665,3.1958333333333364,11.91673349298612,0.0,0.0,78.78,AVAILABLE,"EB_0185, EB_0195, VISTRON_2980, VISTRON_2982, VISTRON_E_1, VISTRON_E_2, VISTRON_K, VISTRON_KC, VISTRON_KT, VISTRON_TG1, VISTRON_TG2, VISTRON_V_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Bishop Substation,,,TX,30.9045037,-95.8028353,1,138.0,69.0,Brazos Electric; American Electric Power,distribution,IN SERVICE,OSM,16.59,3.092500000000001,12.56813828695404,0.0,0.0,78.7,AVAILABLE,BISHOP_L_A,1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Wickett Substation,,,TX,31.5980443,-103.0212035,1,138.0,69.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,14.560833333333335,5.121666666666666,3.9397769928795707,0.0,0.0,78.6,AVAILABLE,"TNWICKETT_0T, TNWICKETT_0U, TNWICKETT_0Z, TNWICKETT_1V, TNWICKETT_1W, TNWICKETT_1X, TNWICKETT_1Y, TNWICKETT_1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Potosi Substation,,,TX,32.3290469,-99.6230875,1,138.0,138.0,Golden Spread Electric Cooperative,distribution,IN SERVICE,OSM,14.683333333333332,4.999166666666669,4.61582423120003,0.0,0.0,78.55,AVAILABLE,EB_6314,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Abilene Aileen Substation,,,TX,32.4886637,-99.7002004,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,14.676666666666668,5.005833333333333,4.620890967479467,0.0,0.0,78.53,AVAILABLE,AILEEN_L_A,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Wink Substation,,,TX,31.763284,-103.1628419,1,138.0,69.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,14.538888888888891,5.14361111111111,4.106079165226982,0.0,0.0,78.5,AVAILABLE,"TNWINK_1, TNWINK____1Y, TNWINK____1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Gila Substation,,,TX,27.8197488,-97.4213144,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,16.88,2.802500000000002,14.63820493605688,0.0,0.0,78.38,AVAILABLE,"GILA_0001, GILA_BUS1, GILA_BUS2, GILA_L153, GILA_L878, GILA_LD1, GILA_LD2, HIWAY_2_KV, LN_TORTUGA1, MAYO_1_KV, NUECES_EPS9",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Cantwell Substation,,,TX,27.8114012,-97.4443703,1,138.0,138.0,Valero,industrial,IN SERVICE,OSM,16.87,2.8125,14.729968269395263,0.0,0.0,78.33,AVAILABLE,"CANTWELL_K, CANTWELL_L_A, CANTWELL_L_B, CANTWELL_V_A, CANTWELL_V_B, CANTWELL_V_D, LE09, LE36",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Keystone Substation,,,TX,33.9830336,-96.006445,1,138.0,69.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,14.536666666666667,5.145833333333334,4.743093224187497,0.0,0.0,78.24,AVAILABLE,TNKEYSTONE0,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Morris Substation,,,TX,27.7843998,-97.4055884,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,16.84,2.842500000000001,14.831829049081454,0.0,0.0,78.23,AVAILABLE,"MORRIS_L_A, MORRIS_L_B, MORRIS_L_C, MORRIS_L_D, MORRIS_V_A, MORRIS_V_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Bunsen Substation,,,TX,27.7616781,-97.818324,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,17.046666666666667,2.635833333333334,15.841495720627726,0.0,0.0,78.19,AVAILABLE,"BUNSEN_BUS1, BUNSEN_BUS2",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Nueces Bay Substation,,,TX,27.8209001,-97.4183686,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,16.868333333333332,2.8141666666666687,15.053375842063609,0.0,0.0,78.19,AVAILABLE,"NUECES_B_V_A, NUECES_B_V_B, NUECES_B_V_C, NUECES_B_V_D",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Rincon Substation,,,TX,27.9868046,-97.3297132,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,16.821111111111108,2.861388888888893,14.934873990466444,0.0,0.0,78.16,AVAILABLE,"RINCON_V_A, RINCON_V_B, RINCON_V_C",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Javelina Substation,,,TX,27.8051322,-97.457036,1,138.0,138.0,American Electric Power,industrial,IN SERVICE,OSM,16.830000000000002,2.852499999999999,15.05181112630032,0.0,0.0,78.13,AVAILABLE,"JAVELINA_L_A, JAVELINA_L_B, JAVELINA_V_A, JAVELINA_V_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Mayo Substation,,,TX,27.9094819,-97.4246969,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,16.86,2.8225000000000016,15.20610403752388,0.0,0.0,78.12,AVAILABLE,"MAYO_BUS1, MAYO_LD02, MAYO_LD_1",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Mckenzie Substation,,,TX,27.8057282,-97.5714881,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,17.0,2.682500000000001,15.842093296026253,0.0,0.0,78.11,AVAILABLE,"MCKENZIE_L_A, MCKENZ_MOB1",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Rockport Substation,,,TX,27.9775952,-97.1420783,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,16.816666666666666,2.8658333333333346,15.025414303772125,0.0,0.0,78.11,AVAILABLE,"ROCKPORT_LD1, ROCKPORT_V_A, ROCKP_BUS2",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Haisley Substation,,,TX,28.0949434,-97.4936,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,15.746666666666666,3.935833333333335,10.646863111623398,0.0,0.0,77.99,AVAILABLE,"HAI138_BS1, HAISLEY_LD01, HAISLEY_LD02, HAISLEY_LDS1, LON_HI_KV, MEDIOC_KV",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Joslin Substation,,,TX,28.6487411,-96.5464448,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,21.58,1.8974999999999973,19.741713342926587,0.0,0.0,77.92,AVAILABLE,"JOSLIN_2752, JOSLIN_2754, JOSLIN_2755, JOSLIN_LD02, JOSLIN_T1, JOSLIN_V_A, JOSLIN_V_B, LN_BROOKT, LN_FORMOS, LN_GOHLKE, LN_SANDCR, LN_TREB_SLR",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Portland Substation,,,TX,27.8878114,-97.3224165,1,138.0,138.0,American Electric Power,distribution,IN SERVICE,OSM,16.826666666666664,2.8558333333333366,15.591229158301362,0.0,0.0,77.91,AVAILABLE,"PORTLAND_L_A, PORTLAND_L_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Citgo North Oak Park Substation,,,TX,27.8142737,-97.4270482,1,138.0,138.0,Citgo,transmission,IN SERVICE,OSM,16.863333333333333,2.8191666666666677,15.786498872982149,0.0,0.0,77.89,AVAILABLE,"CITGO_NO_V_A, CITGO_NO_V_B",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
