ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
PORT_UN1,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
POWELL,Powell Substation,ercot_reference_exact,1.0,29.6264645,-95.0388483
PRAXAIR_BT1,Praxair Substation,ercot_reference_exact,1.0,29.3678646,-94.9472041
PRAXAIR_T1,Praxair Substation,ercot_reference_exact,1.0,29.3678646,-94.9472041
PRAXAIR_T2,Praxair Substation,ercot_reference_exact,1.0,29.3678646,-94.9472041
PREMONT_L_A,Premont Substation,ercot_reference_exact,1.0,27.3832569,-98.1260213
PREMONT_L_B,Premont Substation,ercot_reference_exact,1.0,27.3832569,-98.1260213
PUEBLO_1001,Pueblo Substation,ercot_reference_exact,1.0,28.6789845,-100.4637508
PUEBLO_4461,Pueblo Substation,ercot_reference_exact,1.0,28.6789845,-100.4637508
PUEBLO_L1,Pueblo Substation,ercot_reference_exact,1.0,28.6789845,-100.4637508
PUEBLO_L2,Pueblo Substation,ercot_reference_exact,1.0,28.6789845,-100.4637508
PUNCHER_LD1,Puncher Substation,ercot_reference_exact,1.0,30.5622978,-99.261792
PURDON,Purdon Substation,ercot_reference_exact,1.0,31.9780158,-96.6419689
PYOTE_8403,Pyote Substation,ercot_reference_exact,1.0,31.4506038,-103.0980024
PYOTE_8423,Pyote Substation,ercot_reference_exact,1.0,31.4506038,-103.0980024
PYOTE_8427,Pyote Substation,ercot_reference_exact,1.0,31.4506038,-103.0980024
PYOTE_RN,Pyote Substation,ercot_reference_exact,1.0,31.4506038,-103.0980024
P_LAVACA_V_A,Port Lavaca Substation,alias,1.0,28.6107228,-96.6582959
QUINTANA_A,Quintana Road Substation,alias,1.0,29.3729749,-98.5565184
QUINTANA_B,Quintana Road Substation,alias,1.0,29.3729749,-98.5565184
RACHAL_L_A,Rachal Substation,ercot_reference_exact,1.0,26.8901417,-98.1638131
RADIUMMT_8,Radium Substation,ercot_reference_exact,1.0,32.8268178,-99.9935163
RADIUM_V_B,Radium Substation,ercot_reference_exact,1.0,32.8268178,-99.9935163
RANDADO_4593,Randado Substation,ercot_reference_exact,1.0,27.0840868,-98.9285684
RANDADO_L163,Randado Substation,ercot_reference_exact,1.0,27.0840868,-98.9285684
RANDADO_L_A,Randado Substation,ercot_reference_exact,1.0,27.0840868,-98.9285684
RANDOLPH_A,Randolph Field Substation,alias,1.0,29.543545,-98.2906459
RANDOLPH_B,Randolph Field Substation,alias,1.0,29.543545,-98.2906459
RANDOLPH_C,Randolph Field Substation,alias,1.0,29.543545,-98.2906459
RANK_L_A,Rankin Substation,ercot_reference_exact,1.0,31.2179139,-101.9374979
REFUGIO_L_A,Refugio Substation,ercot_reference_exact,1.0,28.349435,-97.3449358
REFUGIO_L_B,Refugio Substation,ercot_reference_exact,1.0,28.349435,-97.3449358
REFUGIO_V_A,Refugio Substation,ercot_reference_exact,1.0,28.349435,-97.3449358
REVEILLE_LD1,Reveille Substation,ercot_reference_exact,1.0,28.414759,-99.2581054
REVEILLE_LD2,Reveille Substation,ercot_reference_exact,1.0,28.414759,-99.2581054
REVEILLE_LD5,Reveille Substation,ercot_reference_exact,1.0,28.414759,-99.2581054
RHOME,Rhome Substation,exact,0.99,33.0765203,-97.4742819
RHOME_8,Rhome Substation,ercot_reference_exact,1.0,33.0765203,-97.4742819
RHOME_8V,Rhome Substation,ercot_reference_exact,1.0,33.0765203,-97.4742819
RHOME_8W,Rhome Substation,ercot_reference_exact,1.0,33.0765203,-97.4742819
RH_0003,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0006,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0009,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0012,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0017,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0018,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_0024,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RH_LN,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
RIDGE_K,Ridge Substation,ercot_reference_exact,1.0,31.1047961,-96.2946075
RIDGE_KG,Ridge Substation,ercot_reference_exact,1.0,31.1047961,-96.2946075
