NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Gatesville #1 Substation,,,TX,31.438222,-97.7342652,1,69.0,69.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Gatesville #2 Substation,,,TX,31.4392035,-97.7464676,1,69.0,69.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Glenn Substation,,,TX,33.7339312,-100.8418664,1,69.0,69.0,Brazos Electric,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Goehmann Lane Substation,,,TX,30.2619557,-98.8433424,1,69.0,69.0,Lower Colorado River Authority,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Gomez Substation,,,TX,31.0370002,-103.0245764,1,69.0,24.9,Texas-New Mexico Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Gouldbusk Substation,,,TX,31.5584564,-99.4579607,1,69.0,69.0,Golden Spread Electric Cooperative,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Government Wells Substation,,,TX,27.9331461,-98.6015945,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Grant Avenue Substation,,,TX,29.362673,-94.9392403,1,69.0,69.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Greenlake Substation,,,TX,28.5348861,-96.7962876,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Greggton Substation,,,TX,32.5107976,-94.8158054,1,69.0,69.0,Southwestern Electric Power Company,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Hackberry Substation,,,TX,33.2867624,-101.5570062,1,69.0,69.0,Lyntegar Electric Cooperative,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Hamlin Plasterco Substation,,,TX,32.8376012,-100.1840258,1,69.0,69.0,American Electric Power,distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Hamlin Shell Pump Substation,,,TX,32.973239,-100.1549071,1,69.0,69.0,American Electric Power,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Hamlin Texas Pipeline Substation,,,TX,32.9351384,-100.2277818,1,69.0,69.0,American Electric Power,industrial,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
Happy Valley Substation,,,TX,32.1431859,-100.0993131,1,69.0,69.0,Golden Spread Electric Cooperative,minor_distribution,IN SERVICE,OSM,,,0.0,0.0,0.0,,UNSCORED,,,unscored,2026-04-16T02:57:59.364804+00:00,0,0,low,UNKNOWN,LOW,unknown
