NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset
Pattern Panhandle Wind 1 Substation,,,TX,35.4147799,-101.2563436,1,345.0,34.5,Pattern Energy,transmission,IN SERVICE,OSM
Pattern Panhandle Wind 2 Substation,,,TX,35.4430283,-101.3728441,1,345.0,34.5,Pattern Energy,transmission,IN SERVICE,OSM
Penascal Substation,,,TX,27.1032675,-97.5287565,1,345.0,34.5,Iberdrola,transmission,IN SERVICE,OSM
Pirkey Substation,,,TX,32.4635163,-94.4785934,1,345.0,345.0,Southwestern Electric Power Company,transmission,IN SERVICE,OSM
Potter County Interchange,,,TX,35.3102787,-101.9229098,1,345.0,230.0,Xcel Energy,transmission,IN SERVICE,OSM
Pyron Wind Farm Substation,,,TX,32.5796911,-100.6925107,1,345.0,34.5,E.ON,transmission,IN SERVICE,OSM
Railhead Substation,,,TX,35.4022323,-101.1538371,1,345.0,345.0,LS Power,transmission,IN SERVICE,OSM
Rattlesnake Den Wind Substation,,,TX,31.7492684,-101.4663721,1,345.0,34.5,Invenergy,transmission,IN SERVICE,OSM
Riley Substation,,,TX,34.0852615,-99.1453349,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Rio Nogales Switchyard,,,TX,29.5931056,-97.9749309,1,345.0,345.0,CPS Energy,transmission,IN SERVICE,OSM
Roadrunner,,,TX,31.2077402,-102.181854,1,345.0,345.0,Enel Green Power,generation,IN SERVICE,OSM
Roadrunner Substation,,,TX,32.2122948,-103.5324484,1,345.0,11.5,Xcel Energy,transmission,IN SERVICE,OSM
Romney Substation,,,TX,32.2448282,-98.6739267,1,345.0,345.0,NextEra Energy,compensation,IN SERVICE,OSM
Roscoe Wind Farm Substation,,,TX,32.4699675,-100.6660414,1,345.0,345.0,E.ON,transmission,IN SERVICE,OSM
Salem Substation,,,TX,30.1112125,-96.4256642,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Sam Switching Station,,,TX,31.8974649,-97.0180753,1,345.0,345.0,NextEra Energy,transmission,IN SERVICE,OSM
San Angelo Red Creek Substation,,,TX,31.5288625,-100.3211088,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
San Miguel Switchyard,,,TX,28.7040056,-98.4743069,1,345.0,69.0,South Texas Electric Cooperative,transmission,IN SERVICE,OSM
Sand Bluff Substation,,,TX,32.0035397,-101.2732002,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Solstice Substation,,,TX,30.9483202,-103.3617143,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
South Plains Wind 1 Substation,,,TX,34.08052,-101.323853,1,345.0,345.0,SunEdison,transmission,IN SERVICE,OSM
South Plains Wind 2 Substation,,,TX,34.1960402,-101.3816255,1,345.0,345.0,SunEdison,transmission,IN SERVICE,OSM
Spinning Spur 1 Substation,,,TX,35.2832778,-102.4347427,1,345.0,34.5,Électricité de France,generation,IN SERVICE,OSM
Spinning Spur 2 Substation,,,TX,35.2921983,-102.582591,1,345.0,34.5,Électricité de France,transmission,IN SERVICE,OSM
Spinning Spur 3 Substation,,,TX,35.2971707,-102.7102965,1,345.0,34.5,Électricité de France,transmission,IN SERVICE,OSM
Spring Creek Substation,,,TX,35.6643958,-101.3165137,1,345.0,13.2,Xcel Energy; City of College Station,distribution,IN SERVICE,OSM
Stephens Ranch Wind Project I Substation,,,TX,32.8980338,-101.657924,1,345.0,34.5,Starwood Energy Group,transmission,IN SERVICE,OSM
Stephens Ranch Wind Project Ii Substation,,,TX,32.9826235,-101.6675455,1,345.0,34.5,Starwood Energy Group,transmission,IN SERVICE,OSM
Sunnyside Substation,,,TX,34.1855764,-97.2413044,1,345.0,12.5,Oklahoma Gas & Electric; San Bernard Electric Cooperative,transmission,IN SERVICE,OSM
Sweetwater Wind 1 Substation,,,TX,32.4379359,-100.3511365,1,345.0,34.5,Leeward Renewable Energy,transmission,IN SERVICE,OSM
Sweetwater Wind 4 Substation,,,TX,32.2858733,-100.49521,1,345.0,345.0,Leeward Renewable Energy,transmission,IN SERVICE,OSM
Sweetwater Wind 5 Substation,,,TX,32.2420631,-100.4876464,1,345.0,345.0,Leeward Renewable Energy,transmission,IN SERVICE,OSM
Tater Hill Substation,,,TX,31.6843576,-98.6036635,1,345.0,34.5,Innergex; BlackRock,generation,IN SERVICE,OSM
Tesla Substation,,,TX,34.3733936,-100.0868415,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Torrecillas Substation,,,TX,27.6190422,-98.8400848,1,345.0,34.5,NextEra Energy,generation,IN SERVICE,OSM
Tuco Interchange,,,TX,33.8693215,-101.8423909,1,345.0,69.0,Xcel Energy,transmission,IN SERVICE,OSM
Twin Buttes Substation,,,TX,31.5137991,-100.598022,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Valliant Substation,,,TX,33.9874957,-95.0510082,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
Vertigo Wind Substation,,,TX,33.6446357,-99.4213944,1,345.0,34.5,Capital Dynamics,transmission,IN SERVICE,OSM
Wake Wind Wind Energy Substation,,,TX,33.8029149,-101.0697597,1,345.0,345.0,Southern Company,transmission,IN SERVICE,OSM
West Shackleford Substation,,,TX,32.6357876,-99.5378545,1,345.0,345.0,NextEra Energy,transmission,IN SERVICE,OSM
Whitepoint Substation,,,TX,27.9357678,-97.3608916,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM
Whitney Switching Station,,,TX,31.8606188,-97.36537,1,345.0,69.0,Brazos Electric,transmission,IN SERVICE,OSM
Zorillo Substation,,,TX,27.0034459,-97.5834731,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Zorn Substation,,,TX,29.7726536,-97.9497492,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Amrad Substation,,,TX,32.5193876,-106.1381686,1,345.0,345.0,,,IN SERVICE,OSM
Blackwater Hvdc Tie,,,TX,34.3007756,-103.1752512,1,345.0,230.0,,converter,IN SERVICE,OSM
Caliente Substation,,,TX,31.8261084,-106.2505333,1,345.0,345.0,,,IN SERVICE,OSM
Cedar Bayou Plant Substation,,,TX,29.7481254,-94.9249778,1,345.0,138.0,,transmission,IN SERVICE,OSM
Channelview Cogen Substation,,,TX,29.8365674,-95.1234255,1,345.0,345.0,,transmission,IN SERVICE,OSM
Chillingham Substation,,,TX,31.005334,-97.2633772,1,345.0,345.0,,generation,IN SERVICE,OSM
Chisholm,,,TX,35.3771513,-99.7197402,1,345.0,230.0,,transmission,IN SERVICE,OSM
Diana Substation,,,TX,32.7443654,-94.6983075,1,345.0,138.0,,transmission,IN SERVICE,OSM
Eagle Mountain Substation,,,TX,32.9082358,-97.477052,1,345.0,345.0,,transmission,IN SERVICE,OSM
Five Wells Substation,,,TX,31.0010725,-97.2557594,1,345.0,345.0,,generation,IN SERVICE,OSM
Frye Substation,,,TX,34.4056743,-101.5766119,1,345.0,345.0,,switching,IN SERVICE,OSM
Goat Wind Substation,,,TX,31.9407824,-100.8270485,1,345.0,345.0,,transmission,IN SERVICE,OSM
Great Western Substation,,,TX,36.1600434,-99.5824573,1,345.0,345.0,,generation,IN SERVICE,OSM
Guadalupe Generating Station,,,TX,29.6231695,-98.1410551,1,345.0,345.0,,transmission,IN SERVICE,OSM
Guthrie Substation,,,TX,36.1896797,-99.4165883,1,345.0,345.0,,switching,IN SERVICE,OSM
Hobbs Substation,,,TX,32.7318048,-103.3116927,1,345.0,115.0,,transmission,IN SERVICE,OSM
Horse Hollow Generation Tie,,,TX,29.9879896,-98.8876517,1,345.0,345.0,,compensation,IN SERVICE,OSM
Hubbard 1 Wind Farm Substation,,,TX,31.7512709,-96.8892898,1,345.0,345.0,,generation,IN SERVICE,OSM
Limestone Wind Substation,,,TX,31.8534454,-96.6219567,1,345.0,345.0,,generation,IN SERVICE,OSM
Longhorn Wind Substation,,,TX,34.3167857,-101.240792,1,345.0,345.0,,transmission,IN SERVICE,OSM
Martin Lake Substation,,,TX,32.2569859,-94.5746502,1,345.0,345.0,,transmission,IN SERVICE,OSM
